cone_id,x,y,colour
B_10,-1.5349636327734382,22.909090909090907,blue
B_7,-2.297933471465059,16.636363636363637,blue
B_0,-1.66597939081457,2.0,blue
Y_11,2.3724096447366745,25.0,yellow
B_5,-2.4351021587301847,12.454545454545453,blue
Y_9,2.2937698356967298,20.818181818181817,yellow
Y_4,1.7954237670207536,10.363636363636363,yellow
Y_0,2.3212830151131705,2.0,yellow
Y_10,2.491583662101581,22.909090909090907,yellow
Y_2,2.354965301790812,6.181818181818182,yellow
Y_3,2.1592095316245588,8.272727272727273,yellow
B_9,-1.6678133470996452,20.818181818181817,blue
B_1,-1.5176037133480318,4.090909090909091,blue
Y_1,2.3936454894776373,4.090909090909091,yellow
B_11,-1.5796394336311657,25.0,blue
Y_7,1.593079607010531,16.636363636363637,yellow
B_3,-1.7365245990929912,8.272727272727273,blue
Y_5,1.5923170557470379,12.454545454545453,yellow
Y_8,2.0529075491877595,18.727272727272727,yellow
B_8,-2.043848608555066,18.727272727272727,blue
B_6,-2.416415980727469,14.545454545454545,blue
Y_6,1.459222174721101,14.545454545454545,yellow
B_4,-2.165642345698692,10.363636363636363,blue
B_2,-1.5264043796785018,6.181818181818182,blue
